Materiale,Colore,Lunghezza,Stagione,time,Meteo,TemperaturaPercepita,StagionePrevisione,Mese,Punteggio
poliestere,colorato,lungo,estate,2022-07-13,soleggiato,28,estate,luglio,18
cotone,chiaro,lungo,estate,2022-05-14,nuvoloso,20,primavera,maggio,24
poliestere,colorato,lungo,all,2022-04-27,pioggia,14,primavera,aprile,25
poliestere,colorato,lungo,all,2022-01-20,nuvoloso,0,inverno,gennaio,26
poliestere,scuro,lungo,estate,2022-02-07,pioggia,6,inverno,febbraio,23
velluto,scuro,lungo,all,2022-01-02,nuvoloso,3,inverno,gennaio,27
poliestere,scuro,lungo,estate,2022-10-26,soleggiato,20,autunno,ottobre,12
poliestere,colorato,lungo,estate,2022-10-27,soleggiato,19,autunno,ottobre,21
poliestere,scuro,lungo,all,2022-08-14,soleggiato,26,estate,agosto,10
poliestere,colorato,lungo,autunno_inverno,2022-06-21,pioggia,30,estate,giugno,10
poliestere,chiaro,lungo,estate,2022-09-03,soleggiato,21,autunno,settembre,22
poliestere,colorato,lungo,all,2022-04-29,soleggiato,17,primavera,aprile,24
poliestere,scuro,lungo,all,2022-12-04,pioggia,13,inverno,dicembre,25
poliestere,colorato,lungo,estate,2022-12-25,nuvoloso,7,inverno,dicembre,23
poliestere,colorato,lungo,estate,2022-09-10,pioggia,24,autunno,settembre,17
poliestere,colorato,lungo,all,2022-09-21,soleggiato,10,autunno,settembre,25
poliestere,colorato,lungo,estate,2022-06-04,soleggiato,29,estate,giugno,18
velluto,scuro,lungo,autunno_inverno,2022-05-27,soleggiato,26,primavera,maggio,6
poliestere,colorato,lungo,all,2022-04-27,pioggia,14,primavera,aprile,25
poliestere,chiaro,lungo,all,2022-05-08,pioggia,16,primavera,maggio,24
poliestere,colorato,lungo,estate,2022-11-05,soleggiato,11,autunno,novembre,22
poliestere,colorato,lungo,estate,2022-08-24,soleggiato,27,estate,agosto,18
poliestere,scuro,lungo,estate,2022-08-21,soleggiato,28,estate,agosto,13
poliestere,colorato,lungo,estate,2022-06-23,pioggia,26,estate,giugno,18
poliestere,colorato,lungo,primavera_estate,2022-06-21,soleggiato,28,estate,giugno,17
poliestere,scuro,lungo,all,2022-07-23,pioggia,20,estate,luglio,20
poliestere,colorato,lungo,estate,2022-04-07,neve,8,primavera,aprile,27
poliestere,colorato,lungo,estate,2022-04-09,pioggia,8,primavera,aprile,27
poliestere,scuro,lungo,all,2022-06-13,soleggiato,25,estate,giugno,10
cotone,colorato,lungo,estate,2022-09-20,soleggiato,17,autunno,settembre,23
poliestere,scuro,lungo,autunno_inverno,2022-12-02,pioggia,5,inverno,dicembre,28
cotone,scuro,lungo,estate,2022-02-12,pioggia,3,inverno,febbraio,23
cotone,chiaro,lungo,estate,2022-07-14,soleggiato,29,estate,luglio,28
poliestere,scuro,lungo,all,2022-01-02,nuvoloso,2,inverno,gennaio,26
cotone,chiaro,lungo,all,2022-07-12,pioggia,28,estate,luglio,20
cotone,scuro,lungo,estate,2022-01-11,soleggiato,-10,inverno,gennaio,23
poliestere,scuro,lungo,estate,2022-01-16,soleggiato,6,inverno,gennaio,23
poliestere,chiaro,lungo,estate,2022-01-26,soleggiato,-2,inverno,gennaio,23
cotone,scuro,lungo,estate,2022-12-18,nuvoloso,3,inverno,dicembre,23
poliestere,scuro,lungo,all,2022-12-02,neve,1,inverno,dicembre,26
poliestere,colorato,lungo,estate,2022-07-12,pioggia,15,estate,luglio,27
poliestere,scuro,lungo,autunno_inverno,2022-07-16,soleggiato,31,estate,luglio,5
poliestere,scuro,lungo,all,2022-01-14,soleggiato,1,inverno,gennaio,26
velluto,scuro,lungo,autunno_inverno,2022-11-11,soleggiato,11,autunno,novembre,25
poliestere,colorato,lungo,all,2022-09-07,pioggia,26,autunno,settembre,15
poliestere,colorato,lungo,all,2022-08-26,pioggia,30,estate,agosto,12
poliestere,scuro,lungo,all,2022-06-12,soleggiato,26,estate,giugno,10
poliestere,chiaro,lungo,all,2022-11-18,pioggia,16,autunno,novembre,24
poliestere,colorato,lungo,primavera_estate,2022-06-24,soleggiato,29,estate,giugno,17
cotone,colorato,lungo,all,2022-05-27,pioggia,29,primavera,maggio,20
poliestere,chiaro,lungo,all,2022-08-03,soleggiato,29,estate,agosto,20
poliestere,colorato,lungo,estate,2022-11-15,pioggia,7,autunno,novembre,23
